creatorID,name
150,"David Bellingham"
151,"Coracle Press"
152,"Mirosław Bałka"
153,"Jacob Samuel"
154,"W. H Auden"
155,"Richard Tuttle"
156,"Artists' Books Collection (Library of Congress)"
157,"Limestone Press"
158,"Paul, 1968- Soulellis"
159,"Monika Kulicka"
160,"John Gibson (Gallery)"
161,"Guillermo Gómez-Peña"
162,"Felicia Rice"
163,"Gustavo Vazquez"
164,"Jennifer A González"
165,"Zachary James Watkins"
166,"Moving Parts Press"
167,"Anselm Kiefer"
168,"Jean-Louis Froment"
169,"Ingeborg Bachmann"
170,"Chris Burden"
171,"Philip Zimmermann"
172,"Calif Archetype Press (Pasadena"
173,"Calif )| Art Center College of Design (Pasadena"
174,"Gabriel García Márquez"
175,"Janelle Poe"
176,"Sheryl Oppenheim"
177,"|publisher Small Editions"
178,"1986- Solange"
179,"Carlota Guerrero"
180,"Ral Veroni"
181,"Heidi Neilson"
182,"Women's Studio Workshop.|"
183,"Ruth Behar"
184,"Ediciones Vigía.|"
185,"Rolando Estévez Jordán"
186,"Jennifer Brook"
187,"|publisher Tree House Press"
188,"Leandro Katz"
189,"Nexus Press.|"
190,"|publisher Blue Bluer Books (Firm)"
191,"Cathryn Miller"
192,"Julie Chen"
193,"Flying Fish Press.|"
194,"Barbara | Tetenbaum"
195,"Catalina Jaramillo Quijano"
196,"Emily Martin"
197,"N. Y. )| Center for Book Arts (New York"
198,"Naughty Dog Press.|"
199,"Amelia Bird"
200,"Lee Krist"
201,"|printer EM Space"
202,"|printer Independent Publishing Resource Center"
203,"Or )| Regional Arts & Culture Council (Portland"
204,"Kevin Hamilton"
205,"Ken Leslie"
206,"Clarissa Sligh"
207,"|printer Blue Ridge Printing"
208,"|book designer Susan Rhew Design"
209,"Heather Weston"
210,"Jonathan Horowitz"
211,"Jorge Luis Borges"
212,"James East Irby"
213,"Janet Zweig"
214,"Holly | Anderson"
215,"Ill ) Center for Book & Paper Arts | Columbia College (Chicago"
216,"Bing Xu"
217,"Tom Phillips"
218,"W. H. (William Hurrell) Mallock"
219,"Jonathan Foer"
220,"Bruno Schulz"
221,"Cory Arcangel"
222,"Rawan Alferaehy Ian D. Warren"
223,"Raúl Hernández"
224,"Dany Barash Sophie Calle ; translation"
225,"Roberley Bell"
226,"Sarah McDermott"
227,"Kidney Press"
228,"Women's Studio Workshop"
229,"edited by Lize Mogel and Alexis Bhagat"
230,"Hamish Fulton"
231,"by] Hamish Fulton"
232,"Richard Long"
233,"Scottish National Gallery of Modern Art"
234,"Sylvia Adrian Notini edited by Stefania Ricci and Sergio Risaliti ; translations"
235,"Francis Alÿs"
236,"essay by] Lexi Lee Sullivan ; with contributions by Cole Swensen and Helen Mirra ; edited by Kristin Swan"
237,"Andreas Baur und Tina Plokarz für die Galerie der Stadt Esslingen am Neckar ; Texte Herausgeber"
238,"edited by David Evans"
239,"Tom Killion and Gary Snyder"
240,"Don, 1931-2005 Celender"
241,"Paul Soulellis"
242,"Mishka Henner"
243,"Michalis Pichler"
244,"Edward | Ruscha"
245,"Edward Ruscha"
246,"Thomas Galler"
247,"Carl Andre"
248,"Robert Barry"
249,"Douglas | Huebler"
250,"Joseph | Kosuth"
251,"Sol LeWitt"
252,"Robert Morris"
253,"Seth Siegelaub"
254,"Lawrence | Weiner"
255,"|issuing Strangers in a Tangled Wilderness (Publisher)"
256,"Danny Resner"
257,"Leah Shapiro"
258,"Judith Arcana"
259,"Chicago Women's Liberation Union.|"
260,"Jeanne | Galatzer-Levy"
261,"Jane (Abortion service)|"
262,"Ruth | Surgal"
263,"Anaïs Argence"
264,"|publisher La Dïéresis (Firm)"
265,"Emiliano Álvarez"
266,"Beatriz Paz"
267,"Frank Ocean"
268,"Brad Freeman"
269,"|publisher JAB Books"
270,"Romano Hänni"
271,"Leslie Smith"
272,"Iowa Center for the Book.|"
273,"Kevin Simón, 1982- Mancera Vivas"
274,"Alec, 1969- Soth"
275,"Brad Zellar"
276,"Brandon Graham"
