creatorID,name,wikidata identifiers
562,Michael Rosenfeld Gallery,
563,Anthony Gerace,
564,Laura May Todd,Q125995621
565,Aint-Bad (Publisher),
566,"Mary, 1933- Frank",
567,Eakins Press Foundation,
568,"Helen, 1909-1993 Adam",
569,"James, 1974- Maynard",
570,Alison (Alison Whitney) Fraser,
571,Lewis Ellingham,
572,Samuel R. Delany,Q438164
573,Robert Hershon,Q7345471
574,Kristin Prevallet,Q6438182
575,Further Other Book Works,
576,Cuneiform Press,
577,Sandu Publishing Co.,
578,Ines Goldbach,Q103105893
579,Hansmartin Siegrist,Q137143121
580,Germano Celant,Q1093350
581,Antonella Soldaini,
582,Galleria nazionale d'arte moderna (Italy),
583,"John, 1927-2017 Ashbery",
584,Mark Polizzotti,Q52432522
585,"John, 1950- Yau",
586,"Ray, 1927-1995 Johnson",
587,Donna De Salvo,Q16728446
588,Catherine Gudis,
589,Joyce Kozloff,Q6297552
590,Barbara Pollack,Q106307724
591,Richard Brereton,
592,"Caroline, 1966- Roberts",
593,"Aaron, 1969- Rose",
594,Josée Bélisle,Q111967987
595,Wangechi Mutu,Q457420
596,Musée d'art contemporain de Montréal,
597,Carol M. Armstrong,
598,David C. Banash,
599,Yasufumi Nakamori,
600,Graham Bader,Q139443643
601,Houston Museum of Fine Arts,
602,Sarah Tulloch,
603,Dennis Busch,Q133595686
604,Silke Krohn,
605,Steve Lindberg,Q7613160
606,"Arden, 1947- Reed",
607,Mary Neumuth Mito,
608,"Dieter, 1971- Buchhart",
609,Galerie Hauser & Wirth,
610,"Hannah, 1889-1978 Höch",
611,Alma-Elisa Kittner,Q132987803
612,Brian Currid,Q95312558
613,Dennis Busch,Q133595686
614,Noelia Hobeika,
615,Anna Sinofzik,Q130814600
616,Evans-Tibbs Collection,
617,Mark Ormond,
618,"Robert, 1925-2008 Rauschenberg",
619,John and Mable Ringling Museum of Art,
620,"Richard, 1949- Armstrong",
621,Whitney Museum of American Art,
622,Calif.) Museum of Contemporary Art (Los Angeles,
623,Elizabeth Hayt,
624,Kent Gallery,
625,Peter Blake About Collage. Exhibition (2000 : Tate Gallery Liverpool),
626,Natalie Rudd,
627,"Peter, 1932- Blake",
628,Tate Gallery Liverpool,
629,"Alexis, 1949- Smith",
630,Augusto Arbizo,Q4821267
631,Belinda Marcus,
632,Amy Gerstler,Q4749206
633,Lawrence Rubin.Greenberg Van Doren.Fine Art,
634,Robert Rosenblum,
635,1943- Gilbert,
636,1942- George,
637,Gilbert & George,
638,Robert M. Murdock,Q123615976
639,"Elenio, 1960- Pico",
640,Comuna del Lápiz japonés,
641,Amy Wilson 1973-,
642,Visual Studies Workshop,
643,Anne George,
644,Ann E Kalmbach,
