title,authors,zotero_item_id,google_books_id,google_books_url
"Paulette me había dejado una nota en el buzón","García, Graciela",9663,RSsrAQAACAAJ,https://books.google.com/books?id=RSsrAQAACAAJ
"Pedro y el lobo","Medina, Pepito",9929,06altgAACAAJ,https://books.google.com/books?id=06altgAACAAJ
"Peluquería","Rodríguez, Rafael",9886,WSyIoAEACAAJ,https://books.google.com/books?id=WSyIoAEACAAJ
"Pequeñas cosas vuelven a ser insignificantes","Jaramillo Quijano, Catalina",9642,FweLQwAACAAJ,https://books.google.com/books?id=FweLQwAACAAJ
"Per-sist-ent ster-e-o-types","Courtney, Pat; Press, Nexus",15447,oPBtAAAACAAJ,https://books.google.com/books?id=oPBtAAAACAAJ
"Performing an archive","Lake, Suzy; Dazibao (Art gallery), |issuing body",13054,pWHcsgEACAAJ,https://books.google.com/books?id=pWHcsgEACAAJ
"Performing an archive","Lake, Suzy; Dazibao (Art gallery), |issuing body",13054,x1MDswEACAAJ,https://books.google.com/books?id=x1MDswEACAAJ
"Perspectivas do livro de artista.","Freeman, Brad; Columbia College (Chicago, Ill ) Center for Book & Paper Arts",9774,7ZPXoQEACAAJ,https://books.google.com/books?id=7ZPXoQEACAAJ
"Peter Downsbrough : the book(s)","Downsbrough, Peter; Canòdrom (Barcelona, Spain)|; Kunstcentrum deSingel (Antwerp, Belgium)|; Küng, Moritz |; Wool, Ira G. |",15531,R1S4uAAACAAJ,https://books.google.com/books?id=R1S4uAAACAAJ
"Photoanalysis : a structuralist play","Kirby, Michael",13217,IFSeGQAACAAJ,https://books.google.com/books?id=IFSeGQAACAAJ
"Photoanalysis : a structuralist play","Kirby, Michael",13218,IFSeGQAACAAJ,https://books.google.com/books?id=IFSeGQAACAAJ
"Photographs taken at one-hour intervals during a walk from Galveston Island to the West Texas town of Marfa.","Edwards, Joshua",9679,4s0angEACAAJ,https://books.google.com/books?id=4s0angEACAAJ
Photogrids,"LeWitt, Sol",9568,mNhTAAAAMAAJ,https://books.google.com/books?id=mNhTAAAAMAAJ
Photogrids,"LeWitt, Sol",9568,zWx7tgAACAAJ,https://books.google.com/books?id=zWx7tgAACAAJ
Photogrids,"LeWitt, Sol",12671,mNhTAAAAMAAJ,https://books.google.com/books?id=mNhTAAAAMAAJ
Photogrids,"LeWitt, Sol",12671,zWx7tgAACAAJ,https://books.google.com/books?id=zWx7tgAACAAJ
Picture/Readings,"Kruger, Barbara",11519,3x9QAQAAIAAJ,https://books.google.com/books?id=3x9QAQAAIAAJ
"Piel de raso","Rico, Nacho",11515,js6KYgEACAAJ,https://books.google.com/books?id=js6KYgEACAAJ
"Pirozzi : un invento argentino.","Pirozzi, Jorge",9903,_B1gNQAACAAJ,https://books.google.com/books?id=_B1gNQAACAAJ
"Pistol, pistil : botanical ballistics","Kellner, Tana; Kalmbach, Ann; Workshop, Women's Studio",11509,hZGxPAAACAAJ,https://books.google.com/books?id=hZGxPAAACAAJ
"Pit's letter","Coe, Sue",9700,BlUMGwAACAAJ,https://books.google.com/books?id=BlUMGwAACAAJ
"Pizza party, 2004","Arcangel, Cory; Frumin, Michael",11508,QYT_oAEACAAJ,https://books.google.com/books?id=QYT_oAEACAAJ
"Playful subversion","Bischof, Beni; Fotohof.|, Galerie",17299,fFJjjwEACAAJ,https://books.google.com/books?id=fFJjjwEACAAJ
"Poema mexicano","Santos, Antonio",9874,QM2noAEACAAJ,https://books.google.com/books?id=QM2noAEACAAJ
"Poems by Richard C.","Craven, Richard",11110,79HzAAAACAAJ,https://books.google.com/books?id=79HzAAAACAAJ
"Poesía imagen","Romero Ruiz, Quino",9882,pi7woAEACAAJ,https://books.google.com/books?id=pi7woAEACAAJ
Poetree,"Bullón Acebes, Raquel",9712,ijDKoAEACAAJ,https://books.google.com/books?id=ijDKoAEACAAJ
"Por la mañana ; Por la noche ; Por la tarde","Lenardón, Gloria; Lenardón, Silvia",11114,06o7AAAACAAJ,https://books.google.com/books?id=06o7AAAACAAJ
"Por la mañana ; Por la noche ; Por la tarde","Lenardón, Gloria; Lenardón, Silvia",11114,PFBkAAAACAAJ,https://books.google.com/books?id=PFBkAAAACAAJ
"Por la mañana ; Por la noche ; Por la tarde","Lenardón, Gloria; Lenardón, Silvia",11114,V3WkAAAACAAJ,https://books.google.com/books?id=V3WkAAAACAAJ
Pornotapados,"Blanco, Paloma; (Publisher)|, Belleza Infinita",17246,xvMpcgAACAAJ,https://books.google.com/books?id=xvMpcgAACAAJ
"Portable document format","Dexter Sinister (Group of artists)",9687,CpJJAQAAIAAJ,https://books.google.com/books?id=CpJJAQAAIAAJ
"Portrait of Stalin on the one hundredth anniversary of his birth","Bakhchani͡an, Vagrich",11117,7LBZNQAACAAJ,https://books.google.com/books?id=7LBZNQAACAAJ
"Post colonial girl paper doll","Slavick, Elin",11122,gFRZOgAACAAJ,https://books.google.com/books?id=gFRZOgAACAAJ
"Post-partum document","Kelly, Mary",10248,l8Y9AAAAIAAJ,https://books.google.com/books?id=l8Y9AAAAIAAJ
"Post-partum document","Kelly, Mary",12669,l8Y9AAAAIAAJ,https://books.google.com/books?id=l8Y9AAAAIAAJ
Postcards,"Alÿs, Francis",9738,bM-KSQAACAAJ,https://books.google.com/books?id=bM-KSQAACAAJ
