uri,vocabularies,label_count,labels
http://id.loc.gov/authorities/subjects/sh2009118946,lcsh,1,Child development -- Case studies
http://id.loc.gov/authorities/subjects/sh2009120581,lcsh,1,Collage -- Exhibitions
http://id.loc.gov/authorities/subjects/sh2009121277,lcsh,1,Conceptual art -- United States
http://id.loc.gov/authorities/subjects/sh2009122160,lcsh,1,Courage -- Juvenile fiction
http://id.loc.gov/authorities/subjects/sh2009123237,lcsh,1,Design -- Philosophy
http://id.loc.gov/authorities/subjects/sh2009123809,lcsh,1,Dreams -- Juvenile fiction
http://id.loc.gov/authorities/subjects/sh2009124197,lcsh,1,Feminism and art -- United States
http://id.loc.gov/authorities/subjects/sh2009125675,lcsh,1,Gardening -- Pictorial works
http://id.loc.gov/authorities/subjects/sh2009126208,lcsh,1,Hate groups -- United States
http://id.loc.gov/authorities/subjects/sh2009127280,lcsh,1,Installations (Art) -- Catalogs
http://id.loc.gov/authorities/subjects/sh2009128067,lcsh,1,Kings and rulers -- Juvenile fiction
http://id.loc.gov/authorities/subjects/sh2009129807,lcsh,1,Lift-the-flap books -- Specimens
http://id.loc.gov/authorities/subjects/sh2010008610,lcsh,1,Art and graphology
http://id.loc.gov/authorities/subjects/sh2010009838,lcsh,1,"Found poetry, American"
http://id.loc.gov/authorities/subjects/sh2010012137,lcsh,1,Vivisection in literature
http://id.loc.gov/authorities/subjects/sh2010012620,lcsh,1,Karuk art
http://id.loc.gov/authorities/subjects/sh2010012629,lcsh,1,Loss (Psychology) in art
http://id.loc.gov/authorities/subjects/sh2010100131,lcsh,1,"Logic -- Problems, exercises, etc"
http://id.loc.gov/authorities/subjects/sh2010100368,lcsh,1,Man-woman relationships -- Case studies
http://id.loc.gov/authorities/subjects/sh2010100374,lcsh,1,Man-woman relationships -- Psychological aspects
http://id.loc.gov/authorities/subjects/sh2010101438,lcsh,1,Memory -- Social aspects -- United States
http://id.loc.gov/authorities/subjects/sh2010101440,lcsh,1,Men -- Portraits
http://id.loc.gov/authorities/subjects/sh2010101632,lcsh,1,Mexican poetry -- 21st century
http://id.loc.gov/authorities/subjects/sh2010101731,lcsh,1,Migraine -- Popular works
http://id.loc.gov/authorities/subjects/sh2010102430,lcsh,1,Mothers -- Biography
http://id.loc.gov/authorities/subjects/sh2010102610,lcsh,1,Mountains in art -- Exhibitions
