cluster,labels,include,conceptId,category,prefLabel,exactMatch,note
http://id.loc.gov/authorities/subjects/sh2011004490.,"Egypt -- History -- Protests, 2011-2013",y,egypt-history-protests-2011-2013,geographic,"Egypt -- History -- Protests, 2011-2013",,auto-seeded draft; review
none|egypt-history-protests-2011-2013-pictorial-works,"Egypt -- History -- Protests, 2011-2013 -- Pictorial works",y,egypt-history-protests-2011-2013-pictorial-works,geographic,"Egypt -- History -- Protests, 2011-2013 -- Pictorial works",,auto-seeded draft; review
none|egypt-in-art,Egypt -- In art,y,egypt-in-art,geographic,Egypt -- In art,,auto-seeded draft; review
none|egypt-politics-and-government-21st-century-pictorial-works,Egypt -- Politics and government -- 21st century -- Pictorial works,y,egypt-politics-and-government-21st-century-pictorial-works,geographic,Egypt -- Politics and government -- 21st century -- Pictorial works,,auto-seeded draft; review
none|el-paso-tex-in-art,El Paso (Tex.) -- In art,y,el-paso-tex-in-art,geographic,El Paso (Tex.) -- In art,,auto-seeded draft; review
http://id.worldcat.org/fast/1219920.,England,y,england,geographic,England,,auto-seeded draft; review
(OCoLC)fst01219920,England,y,england,geographic,England,,auto-seeded draft; review
fast|england,England,y,england,geographic,England,,auto-seeded draft; review
none|england-drama,England -- Drama,y,england-drama,geographic,England -- Drama,,auto-seeded draft; review
http://id.worldcat.org/fast/1204271.,England -- London,y,england-london,geographic,England -- London,,auto-seeded draft; review
(OCoLC)fst01204271,England -- London,y,england-london,geographic,England -- London,,auto-seeded draft; review
none|england-poetry,England -- Poetry,y,england-poetry,geographic,England -- Poetry,,auto-seeded draft; review
http://id.worldcat.org/fast/1239979.,England -- Thames River,y,england-thames-river,geographic,England -- Thames River,,auto-seeded draft; review
none|epynt-mountain-wales,Epynt Mountain (Wales),y,epynt-mountain-wales,geographic,Epynt Mountain (Wales),,auto-seeded draft; review
none|epynt-mountain-wales-pictorial-works,Epynt Mountain (Wales) -- Pictorial works,y,epynt-mountain-wales-pictorial-works,geographic,Epynt Mountain (Wales) -- Pictorial works,,auto-seeded draft; review
none|eugene-or-statistics,Eugene (Or.) -- Statistics,y,eugene-or-statistics,geographic,Eugene (Or.) -- Statistics,,auto-seeded draft; review
http://id.worldcat.org/fast/1245058.,Eurasia,y,eurasia,geographic,Eurasia,,auto-seeded draft; review
none|eurasia-in-art-exhibitions,Eurasia -- In art -- Exhibitions,y,eurasia-in-art-exhibitions,geographic,Eurasia -- In art -- Exhibitions,,auto-seeded draft; review
http://id.worldcat.org/fast/1245064.,Europe,y,europe,geographic,Europe,,auto-seeded draft; review
none|europe-pictorial-works,Europe -- Pictorial works,y,europe-pictorial-works,geographic,Europe -- Pictorial works,,auto-seeded draft; review
none|europe-central-history-pictorial-works,"Europe, Central -- History -- Pictorial works",y,europe-central-history-pictorial-works,geographic,"Europe, Central -- History -- Pictorial works",,auto-seeded draft; review
none|europe-eastern-history-pictorial-works,"Europe, Eastern -- History -- Pictorial works",y,europe-eastern-history-pictorial-works,geographic,"Europe, Eastern -- History -- Pictorial works",,auto-seeded draft; review
