cluster,authorityURI,schemes,tags,recs,labels
http://id.worldcat.org/fast/1204303.,http://id.worldcat.org/fast/1204303.,fast,651,6,Spain
http://id.worldcat.org/fast/1206830.,http://id.worldcat.org/fast/1206830.,fast,651,6,Brazil
http://id.worldcat.org/fast/1210272.,http://id.worldcat.org/fast/1210272.,fast,651,6,Germany
http://id.worldcat.org/fast/1210278.,http://id.worldcat.org/fast/1210278.,fast,651,6,Belgium
http://id.worldcat.org/fast/1219920.,http://id.worldcat.org/fast/1219920.,fast,651,6,England
http://id.worldcat.org/fast/1355139.,http://id.worldcat.org/fast/1355139.,fast,650,6,"Themes, motives"
http://id.worldcat.org/fast/1739207.,http://id.worldcat.org/fast/1739207.,fast,650,6,Art and the Internet
http://id.worldcat.org/fast/1746380.,http://id.worldcat.org/fast/1746380.,fast,650,6,Vernacular photography
http://id.worldcat.org/fast/868563.,http://id.worldcat.org/fast/868563.,fast,650,6,Color in art
http://id.worldcat.org/fast/922751.,http://id.worldcat.org/fast/922751.,fast,650,6,Feminism in art
http://id.worldcat.org/fast/940896.,http://id.worldcat.org/fast/940896.,fast,650,6,Geometry in art
http://id.worldcat.org/fast/996707.,http://id.worldcat.org/fast/996707.,fast,650,6,Letter writing in art
lcsh|alphabets,,lcsh,650,6,Alphabets
lcsh|altered-books-facsimiles,,lcsh,650,6,Altered books -- Facsimiles
lcsh|art-modern-20th-century-exhibitions,,lcsh,650,6,"Art, Modern -- 20th century -- Exhibitions"
lcsh|artists-books-periodicals,,lcsh,650,6,Artists' books -- Periodicals
lcsh|artists-books-united-states-exhibitions,,lcsh,650,6,Artists' books -- United States -- Exhibitions
lcsh|handmade-paper-specimens,,lcsh,650,6,Handmade paper -- Specimens
lcsh|photography-artistic-exhibitions,,lcsh,650,6,"Photography, Artistic -- Exhibitions"
lcsh|postage-stamps-in-art,,lcsh,650,6,Postage stamps in art
lcsh|words-in-art,,lcsh,650,6,Words in art
unspecified|artists-books-books,,unspecified,650,6,artists' books (books)
(OCoLC)fst00817559,(OCoLC)fst00817559,unspecified fast,650,5,Artists
(OCoLC)fst01061964.,(OCoLC)fst01061964.,fast,650,5,"Photography, Artistic"
http://id.loc.gov/authorities/subjects/sh2003003610.,http://id.loc.gov/authorities/subjects/sh2003003610.,lcsh,650,5,Autobiographical memory in art
http://id.loc.gov/authorities/subjects/sh2003008599.,http://id.loc.gov/authorities/subjects/sh2003008599.,lcsh,650,5,Art and the Internet
http://id.loc.gov/authorities/subjects/sh85015614.,http://id.loc.gov/authorities/subjects/sh85015614.,lcsh,650,5,Book design
http://id.loc.gov/authorities/subjects/sh85079877.,http://id.loc.gov/authorities/subjects/sh85079877.,lcsh,650,5,Mail art
http://id.loc.gov/authorities/subjects/sh85088916.,http://id.loc.gov/authorities/subjects/sh85088916.,lcsh,650,5,Music in art
http://id.loc.gov/authorities/subjects/sh97001626.,http://id.loc.gov/authorities/subjects/sh97001626.,lcsh,650,5,Tarot in art
http://id.loc.gov/authorities/subjects/sh97002577.,http://id.loc.gov/authorities/subjects/sh97002577.,lcsh,650,5,Walking in art
http://id.worldcat.org/fast/1006062.,http://id.worldcat.org/fast/1006062.,fast,650,5,Mail art
http://id.worldcat.org/fast/1030543.,http://id.worldcat.org/fast/1030543.,fast,650,5,Music in art
http://id.worldcat.org/fast/1061958.,http://id.worldcat.org/fast/1061958.,fast,650,5,Photography of women
http://id.worldcat.org/fast/1143428.,http://id.worldcat.org/fast/1143428.,fast,650,5,Tarot in art
http://id.worldcat.org/fast/1169308.,http://id.worldcat.org/fast/1169308.,fast,650,5,Voyages and travels
http://id.worldcat.org/fast/1204289.,http://id.worldcat.org/fast/1204289.,fast,651,5,France
http://id.worldcat.org/fast/1204897.,http://id.worldcat.org/fast/1204897.,fast,651,5,Colombia -- Bogotá
http://id.worldcat.org/fast/1205757.,http://id.worldcat.org/fast/1205757.,fast,651,5,Iraq
http://id.worldcat.org/fast/1245945.,http://id.worldcat.org/fast/1245945.,fast,651,5,Latin America
http://id.worldcat.org/fast/1353140.,http://id.worldcat.org/fast/1353140.,fast,650,5,Friends and associates
http://id.worldcat.org/fast/807348.,http://id.worldcat.org/fast/807348.,fast,650,5,American poetry
http://id.worldcat.org/fast/815309.,http://id.worldcat.org/fast/815309.,fast,650,5,Art -- Political aspects
http://id.worldcat.org/fast/822590.,http://id.worldcat.org/fast/822590.,fast,650,5,Autobiographical memory in art
http://id.worldcat.org/fast/836152.,http://id.worldcat.org/fast/836152.,fast,650,5,Book design
http://id.worldcat.org/fast/852211.,http://id.worldcat.org/fast/852211.,fast,650,5,"Chapbooks, Spanish"
http://id.worldcat.org/fast/867085.,http://id.worldcat.org/fast/867085.,fast,650,5,Collage
http://id.worldcat.org/fast/910920.,http://id.worldcat.org/fast/910920.,fast,650,5,English language
http://vocab.getty.edu/aat/300123016.,http://vocab.getty.edu/aat/300123016.,aat,650,5,Artists' books (books)
lcsh|art,,lcsh,650,5,Art
lcsh|artists,,lcsh,650,5,Artists
lcsh|artists-books-exhibitions,,lcsh,650,5,Artists' books -- Exhibitions
lcsh|artists-books-italy,,lcsh,650,5,Artists' books -- Italy
lcsh|artists-books-japan,,lcsh,650,5,Artists' books -- Japan
lcsh|artists-books-new-york-rosendale,,lcsh,650,5,Artists' books -- New York -- Rosendale
lcsh|artists-books-new-york-state,,lcsh,650,5,Artists' books -- New York (State)
lcsh|artists-books-new-york-state-new-york-specimens,,lcsh,650,5,Artists' books -- New York (State) -- New York -- Specimens
lcsh|artists-books-scotland,,lcsh,650,5,Artists' books -- Scotland
lcsh|artists-books-washington-d-c,,lcsh,650,5,Artists' books -- Washington (D.C.)
lcsh|autobiographical-memory-in-art,,lcsh,650,5,Autobiographical memory in art
lcsh|conceptual-art-exhibitions,,lcsh,650,5,Conceptual art -- Exhibitions
lcsh|letterpress,,lcsh,650,5,Letterpress
lcsh|mail-art,,lcsh,650,5,Mail art
lcsh|maps-in-art,,lcsh,650,5,Maps in art
lcsh|pop-up-books-specimens,,lcsh,650,5,Pop-up books -- Specimens
lcsh|postcards,,lcsh,650,5,Postcards
lcsh|printing-specimens,,lcsh,650,5,Printing -- Specimens
lcsh|self-in-art,,lcsh,650,5,Self in art
lcsh|visual-poetry,,lcsh,650,5,Visual poetry
unspecified|livres-d-artistes,,unspecified,650,5,Livres d'artistes
(OCoLC)fst00814030,(OCoLC)fst00814030,unspecified,650,4,Archives
http://id.loc.gov/authorities/subjects/sh2007100768.,http://id.loc.gov/authorities/subjects/sh2007100768.,lcsh,650,4,American poetry -- 21st century
http://id.loc.gov/authorities/subjects/sh2009129807.,http://id.loc.gov/authorities/subjects/sh2009129807.,lcsh,650,4,Lift-the-flap books -- Specimens
http://id.loc.gov/authorities/subjects/sh2010101632.,http://id.loc.gov/authorities/subjects/sh2010101632.,lcsh,650,4,Mexican poetry -- 21st century
http://id.loc.gov/authorities/subjects/sh85006905.,http://id.loc.gov/authorities/subjects/sh85006905.,lcsh,650,4,Architecture in art
http://id.loc.gov/authorities/subjects/sh85007662,http://id.loc.gov/authorities/subjects/sh85007662,lcsh,650,4,"Art, French"
http://id.loc.gov/authorities/subjects/sh85027965.,http://id.loc.gov/authorities/subjects/sh85027965.,lcsh,650,4,Collage
http://id.loc.gov/authorities/subjects/sh85029624,http://id.loc.gov/authorities/subjects/sh85029624,lcsh,650,4,Conceptual art
http://id.loc.gov/authorities/subjects/sh85033274.,http://id.loc.gov/authorities/subjects/sh85033274.,lcsh,650,4,Clothing and dress in art
http://id.loc.gov/authorities/subjects/sh85085702.,http://id.loc.gov/authorities/subjects/sh85085702.,lcsh,650,4,Minimal art
http://id.loc.gov/authorities/subjects/sh85086800.,http://id.loc.gov/authorities/subjects/sh85086800.,lcsh,650,4,Money in art
http://id.loc.gov/authorities/subjects/sh85104472.,http://id.loc.gov/authorities/subjects/sh85104472.,lcsh,650,4,Politics in art
http://id.loc.gov/authorities/subjects/sh85132686.,http://id.loc.gov/authorities/subjects/sh85132686.,lcsh,650,4,Tarot
http://id.loc.gov/authorities/subjects/sh97000008.,http://id.loc.gov/authorities/subjects/sh97000008.,lcsh,650,4,Chance in art
http://id.loc.gov/authorities/subjects/sh97000712.,http://id.loc.gov/authorities/subjects/sh97000712.,lcsh,650,4,Rape in art
http://id.loc.gov/authorities/subjects/sh97001340.,http://id.loc.gov/authorities/subjects/sh97001340.,lcsh,650,4,Science in art
http://id.loc.gov/authorities/subjects/sh97001955.,http://id.loc.gov/authorities/subjects/sh97001955.,lcsh,650,4,Literature in art
http://id.worldcat.org/fast/1000107.,http://id.worldcat.org/fast/1000107.,fast,650,4,Literature in art
http://id.worldcat.org/fast/1015913.,http://id.worldcat.org/fast/1015913.,fast,650,4,Memory
http://id.worldcat.org/fast/1019226.,http://id.worldcat.org/fast/1019226.,fast,650,4,Mexican poetry
http://id.worldcat.org/fast/1022831.,http://id.worldcat.org/fast/1022831.,fast,650,4,Minimal art
http://id.worldcat.org/fast/1025319.,http://id.worldcat.org/fast/1025319.,fast,650,4,Money in art
http://id.worldcat.org/fast/1061605.,http://id.worldcat.org/fast/1061605.,fast,650,4,Photographers
http://id.worldcat.org/fast/1076612.,http://id.worldcat.org/fast/1076612.,fast,650,4,Printing
http://id.worldcat.org/fast/1090002.,http://id.worldcat.org/fast/1090002.,fast,650,4,Rape in art
http://id.worldcat.org/fast/1108730.,http://id.worldcat.org/fast/1108730.,fast,650,4,Science in art
http://id.worldcat.org/fast/1111843.,http://id.worldcat.org/fast/1111843.,fast,650,4,Self-portraits
http://id.worldcat.org/fast/1140771.,http://id.worldcat.org/fast/1140771.,fast,650,4,Symbolism in art
http://id.worldcat.org/fast/1143418.,http://id.worldcat.org/fast/1143418.,fast,650,4,Tarot
http://id.worldcat.org/fast/1168079.,http://id.worldcat.org/fast/1168079.,fast,650,4,Visual poetry
http://id.worldcat.org/fast/1177159.,http://id.worldcat.org/fast/1177159.,fast,650,4,Women artists
http://id.worldcat.org/fast/1198648.,http://id.worldcat.org/fast/1198648.,fast,650,4,Criticism and interpretation
http://id.worldcat.org/fast/1198921.,http://id.worldcat.org/fast/1198921.,fast,650,4,Press coverage
http://id.worldcat.org/fast/1199302.,http://id.worldcat.org/fast/1199302.,fast,650,4,Clothing and dress in art
http://id.worldcat.org/fast/1202769.,http://id.worldcat.org/fast/1202769.,fast,651,4,Mexico -- Chiapas
http://id.worldcat.org/fast/1204082.,http://id.worldcat.org/fast/1204082.,fast,651,4,Japan
http://id.worldcat.org/fast/1204304.,http://id.worldcat.org/fast/1204304.,fast,651,4,North Carolina
