canonicalKey,cluster,rawLabel,normLabel,authority
3XZCC9CU,http://id.loc.gov/authorities/subjects/sh85034594.,Cuba -- Politics and government -- 1810-1899,cuba-politics-and-government-1810-1899,http://id.loc.gov/authorities/subjects/sh85034594
ZNYNAY55,http://id.loc.gov/authorities/subjects/sh85034628.,Cuban poetry,cuban-poetry,http://id.loc.gov/authorities/subjects/sh85034628
XCSC2N87,http://id.loc.gov/authorities/subjects/sh85034646.,Cube in art,cube-in-art,http://id.loc.gov/authorities/subjects/sh85034646
N9DVSDY2,http://id.loc.gov/authorities/subjects/sh85034755,Culture,culture,http://id.loc.gov/authorities/subjects/sh85034755
L62HNVS4,http://id.loc.gov/authorities/subjects/sh85035061.,Cyclecars,cyclecars,http://id.loc.gov/authorities/subjects/sh85035061
JHC5FI3J,http://id.loc.gov/authorities/subjects/sh85035408.,Daguerreotype,daguerreotype,http://id.loc.gov/authorities/subjects/sh85035408
BCIJ8482,http://id.loc.gov/authorities/subjects/sh85035659,Dance,dance,http://id.loc.gov/authorities/subjects/sh85035659
PYUJ2RBM,http://id.loc.gov/authorities/subjects/sh85035688.,Dance in art,dance-in-art,http://id.loc.gov/authorities/subjects/sh85035688
PVQIAWIQ,http://id.loc.gov/authorities/subjects/sh85035884.,Dating (Social customs),dating-social-customs,http://id.loc.gov/authorities/subjects/sh85035884
UJ5VW779,http://id.loc.gov/authorities/subjects/sh85036024.,Dead,dead,http://id.loc.gov/authorities/subjects/sh85036024
9CCJAJ79,http://id.loc.gov/authorities/subjects/sh85036044,Deadly sins,deadly-sins,http://id.loc.gov/authorities/subjects/sh85036044
WSFMD8E6,http://id.loc.gov/authorities/subjects/sh85036106,Death in art,death-in-art,http://id.loc.gov/authorities/subjects/sh85036106
632X6CII,http://id.loc.gov/authorities/subjects/sh85036106.,Death in art,death-in-art,http://id.loc.gov/authorities/subjects/sh85036106
83JLLNSN,http://id.loc.gov/authorities/subjects/sh85036106.,Death in art,death-in-art,http://id.loc.gov/authorities/subjects/sh85036106
FB75FLIE,http://id.loc.gov/authorities/subjects/sh85036106.,Death in art,death-in-art,http://id.loc.gov/authorities/subjects/sh85036106
