cluster,authorityURI,schemes,tags,recs,labels
local|flemish,,local,655,3,Flemish
local|photographs-original,,local,655,3,"Photographs, Original. | Photographs, Original"
none|accordion-bindings,,,655,3,Accordion bindings.
none|poetry,,,655,3,Poetry
none|tracts-ephemera,,,655,3,Tracts (Ephemera)
ram|livres-d-artistes,,ram,650,3,Livres d'artistes. | Livres d'artistes
rbbin|accordion-fold-format,,rbbin,655,3,Accordion fold format | Accordion fold format.
rbmscv|authors-autographs,,rbmscv,655,3,Authors' autographs
rbmscv|handmade-papers,,rbmscv,655,3,Handmade papers
rbmscv|private-press-books,,rbmscv,655,3,Private press books
(CStmoGRI)aatgf300055931,(CStmoGRI)aatgf300055931,aat,655,2,poetry. | Poetry.
(CStmoGRI)aatgf300178688,(CStmoGRI)aatgf300178688,aat,655,2,screen prints.
(CStmoGRI)aatgf300264218,(CStmoGRI)aatgf300264218,aat,655,2,pamphlet bindings.
(CStmoGRI)aatgf300375674,(CStmoGRI)aatgf300375674,aat,655,2,staple bindings.
(CaQQLa)RVMGF-000000187,(CaQQLa)RVMGF-000000187,rvmgf,655,2,Livres d'artistes.
(CaQQLa)RVMGF-000000476,(CaQQLa)RVMGF-000000476,rvmgf,655,2,Poésie.
(OCoLC)fst01411635,(OCoLC)fst01411635,fast,655,2,"Criticism, interpretation, etc."
(OCoLC)fst01423692,(OCoLC)fst01423692,fast,655,2,Catalogs
(OCoLC)fst01423718,(OCoLC)fst01423718,fast,655,2,Drawings
(OCoLC)fst01423791,(OCoLC)fst01423791,fast,655,2,Translations
(OCoLC)fst01423832,(OCoLC)fst01423832,fast,655,2,Interviews. | Interviews
(OCoLC)fst01423873,(OCoLC)fst01423873,fast,655,2,Illustrated works.
(OCoLC)fst01424028.,(OCoLC)fst01424028.,fast,655,2,Exhibition catalogs.
(OCoLC)fst01726740,(OCoLC)fst01726740,fast,655,2,Short stories
(OCoLC)fst01921613.,(OCoLC)fst01921613.,fast,655,2,Comics (Graphic works)
(OCoLC)fst01986255,(OCoLC)fst01986255,fast,655,2,Screen prints
aat|alphabet-books,,aat,655,2,Alphabet books.
aat|anthologies,,aat,655,2,anthologies.
aat|binding,,aat,655,2,Binding
aat|broadsides,,aat,655,2,Broadsides. | Broadsides
aat|canvas-textile-material,,aat,655,2,Canvas (textile material).
aat|chine-colle,,aat,655,2,Chine collé
