cluster,labels,include,conceptId,category,prefLabel,note
http://vocab.getty.edu/aat/300033565.,Nails (fasteners),y,found-object-manmade,material,Found object (manmade),
http://vocab.getty.edu/aat/300036363.,Fasteners.,n,,,,
http://vocab.getty.edu/aat/300041366.,Aquatints (prints),y,aquatint,process-technique,Aquatint,
http://vocab.getty.edu/aat/300045627.,Bottles.,y,found-object-manmade,,,
http://vocab.getty.edu/aat/300045657.,Cans (containers),y,found-object-manmade,,,
http://vocab.getty.edu/aat/300045659.,Cases (containers),y,case,enclosure,Case,
http://vocab.getty.edu/aat/300046300.,Photographs.,y,photography,,,
http://vocab.getty.edu/aat/300053228.,Drypoint (printing process),y,drypoint,process-technique,Drypoint,
http://vocab.getty.edu/aat/300053241.,Etching (printing process),y,etching,process-technique,Etching,
http://vocab.getty.edu/aat/300053275.,Photolithography.,y,photolithography,process-technique,Photolithography,
http://vocab.getty.edu/aat/300053324.,Overprinting.,y,overprinting,process-technique,Overprinting,
http://vocab.getty.edu/aat/300055931.,Poetry.,y,poetry,,,
http://vocab.getty.edu/aat/300055932.,Concrete poetry.,y,poetry,,,
http://vocab.getty.edu/aat/300100194.,Line drawings (drawings),n,,,,
http://vocab.getty.edu/aat/300124117.,Plant material.,y,plant-material,material,Plant material,
http://vocab.getty.edu/aat/300127269.,Manipulated photographs.,y,photography,,,
http://vocab.getty.edu/aat/300133032.,Cubes (geometric figures),n,,,,
http://vocab.getty.edu/aat/300133555.,Hand coloring.,y,hand-coloring,process-technique,Hand coloring,
http://vocab.getty.edu/aat/300134997.,Film stills.,n,,,,
http://vocab.getty.edu/aat/300152367.,Chapbooks.,y,chapbook,genre-form,Chapbook,
http://vocab.getty.edu/aat/300162056.,Black-and-white photography.,y,photography,,,
http://vocab.getty.edu/aat/300163347.,Mixed media.,y,mixed-media,material,Mixed media,
http://vocab.getty.edu/aat/300163644.,Deed books.,n,,,,
http://vocab.getty.edu/aat/300178463.,Handscrolls.,y,handscrolls,structure-format,Handscrolls,
http://vocab.getty.edu/aat/300178549.,Impressions (prints),n,,,,
http://vocab.getty.edu/aat/300183813.,Hosho.,y,papermaking-fiber-paper-mulberry,,,
http://vocab.getty.edu/aat/300185694.,Sails.,y,found-object-manmade,,,
