refKey,refTitle,bookKey,bookTitle,verbatim,decision,notes
BEGEG5AI,Artists books,RIX3W6I8,Carrots Anyone?,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.64.",no,
BEGEG5AI,Artists books,RL8XMAAT,Russian Portrait,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.186.",no,
BEGEG5AI,Artists books,S6GVWGMG,Unfinished Symphony,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.168.",no,
BEGEG5AI,Artists books,S7GKU4P8,Peiload,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.180.",no,
BEGEG5AI,Artists books,SM5CHLJQ,"Woman concerned in art, having a flat, a child, had made this book of newspaper's ads","Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.30-31.",no,
BEGEG5AI,Artists books,SXPXEUSZ,Kimono/kosode : a decorative study of the kimono,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.139.",no,
BEGEG5AI,Artists books,TBU8ZMQ7,On this land : poem,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.136-137.",no,
BEGEG5AI,Artists books,TD6R6D5D,Offering time,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.172.",no,
BEGEG5AI,Artists books,TJAGDAZI,Climbing the Walls,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.120.",no,
BEGEG5AI,Artists books,TYMBL3WR,Einladung = Invitation.,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.184-185.",no,
BEGEG5AI,Artists books,TYUX8NK4,Octopus,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.28.",no,
BEGEG5AI,Artists books,U45S2SWB,The Legacy of Scheherazade,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.27.",no,
BEGEG5AI,Artists books,U7ABJYBZ,Looking Glass,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.123.",no,
BEGEG5AI,Artists books,UA3ZG6JE,The Reptilian Brain,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.114-115.",no,
