lib1Key,lib1Title,twinTitle,decision,notes
EWKRJEHT,Wall to wall,Wall to wall,,
T5BY6GL3,(Untitled),Untitled,no,unless same author
Y9BU2SI7,Partitura,Partitura,,
2FCWWRUR,"Apparition of a distance, however near it may be : the hands of Google Books","Apparition of a distance, however near it may be : the hands of Google Books",,
MWWMFA8J,Mrs Merryman's collection,Mrs Merryman's collection,,
6PD2C5CE,Tree of codes,Tree of codes,,
M69CN3AD,Mirrors,Mirroirs,same,
7M4CUF8W,Autobiography,Autobiography,same,
87VFPMMD,Pacing,Pacing,,
84WG8AI6,¡Préstame tu luz!,¡Préstame tu luz!,,
4EC84LP7,Canto a Matanzas,Canto a Matanzas,no,
NX2BZWC6,Ayotzinapa : desaparición política.,Ayotzinapa : desaparición política.,,
RMUSCV3U,Goró,Goró,,
3KJN9TSD,Japan project,Japan project,same,
FYXK9NFK,El sol de emergencia,El sol de emergencia,,
LXK422S7,Stripped : sixty-six sunsets stripped,Stripped : sixty-six sunsets stripped,,
YZ6HPRBF,Fractal state of being,Fractal state of being,,
3XWU692I,El diario de la china : (donde el diablo perdió el poncho y la liebre y el zorro se dan las buenas noches),El diario de la china : (donde el diablo perdió el poncho y la liebre y el zorro se dan las buenas noches),,
WZU7LXLZ,Xochikuikatl : poesía,Xochikuikatl : poesía,,
FXE4GCW8,Brisées,Brisées,,
PW6T4XZI,Dangerous women : from the collection of Peter J. Cohen ; edited by Melissa Catanese.,Dangerous women : from the collection of Peter J. Cohen ; edited by Melissa Catanese.,,
X6VXAJ6R,Dalston Anatomy,Dalston Anatomy,,
Q2AVYL4M,High tide,High tide,same,first published 2006 2012 has additional material
HS9B22Y9,Never realized,Never realized,,
XY9DI4TS,Canto a Matanzas,Canto a Matanzas,no,
5P6M8NR6,Poetree,Poetree,,
NPRQTH33,101 soluciones para salir de la crisis,101 soluciones para salir de la crisis,,
IZ7ZQQZG,67 improved papertigers not afraid of repetition,67 improved papertigers not afraid of repetition,,
QLFH7YC9,El gordo de los boleros y otros cuentos,El gordo de los boleros y otros cuentos,,
IB4ENNE3,The artist book,The artist book,same,
K8YUWEVJ,Luz : poemas (trans)fronterizos = Light : (trans)border poems,Luz : poemas (trans)fronterizos = Light : (trans)border poems,,
FHDWLYSR,"Solo quiero que me salven las palabras : antología, 1985-2010 / Pilar González España.","Solo quiero que me salven las palabras : antología, 1985-2010 / Pilar González España.",,
MKYV5CFB,Posconflicto,Posconflicto,,
LJKGB943,M.L.C.P. : liberación de la planta de coca : en tres actos (movimientos),M.L.C.P. : liberación de la planta de coca : en tres actos (movimientos),,
VKEPS3KW,Techo,Techo,same,Publicaciones revolucionarias #3. ISSN: 2500-5340
LX3H4D4C,Mano de obra,Mano de obra,,
Z6RHPCAT,En el fin del mundo,En el fin del mundo,,
L38NFWL7,Antejardines,Antejardines,,
EQQUC9IQ,27 poemas y un vacío,27 poemas y un vacío,,
7RNL2PHX,Crease folds,Crease folds,,
D3PBWC2Q,There's no place like time : a retrospective,There's no place like time : a retrospective,,
AE8FNKMW,Exhausted geographies.,Exhausted geographies.,same,
7XK8EGQ5,Mi destino está en tus manos,Mi destino está en tus manos,,
4JXBWP4E,Pequeña biblioteca de conocimiento frívolo y ocioso,Pequeña biblioteca de conocimiento frívolo y ocioso,,
2K8CS9KR,Now will not be with us forever,Now will not be with us forever,,
XXI3AB52,Cuerpo de niño triste,Cuerpo de niño triste,,
MYQXRZWG,Alex Hubbard : eat your friends.,Alex Hubbard : eat your friends.,,
H6NFPIFP,C M Y,C M Y,,
CSVYJVDI,Las reglas del arte : guía práctica para alcanzar el éxito,Las reglas del arte : guía práctica para alcanzar el éxito,,
BYUCTBW9,Polen,Polen,,
52R3JDXG,Gathered leaves,Gathered leaves,,
RVT47GGS,Genesis,Genesis,same,
ZN297Z3H,La muerte de los objectos,La muerte de los objectos,,
8GLPYRJ2,Big Bill's tattoos and tattoo laser removals : tattalogue. Part 1,Big Bill's tattoos and tattoo laser removals : tattalogue. Part 1,,
8S9QX7PJ,Resolution,Revolution,same,as long as author is Motebaheri libtitle is correct
PA6NQQ8I,Stranger,Stranger,,
4S2DVX4U,Walking,Walking,same,
UG2789D5,Tomorrow's man 3,Tomorrow's man 3,same,
MAW2XFS8,43 : cuarenta y tres,43 : cuarenta y tres,,
LXFELZNI,Chronicles of migration : rearrange and recount,Chronicles of migration : rearrange and recount,,
6BC85DJU,Migrar,Migrar,,
C5MWYI8G,Transforming hate : an artist's book,Transforming hate : an artist's book,,
3RNMJTA2,Habitat,Habitat,same,
4SR58AEX,La prose du Transsibérien et la petite Jehanne de France,La prose du Transsibérien et la petite Jehanne de France,,
