status,refKey,refTitle,bookKey,bookTitle,method,confidence,onPages,imagePages,verbatim
emitted,A5RE4482,Artists' books : the book as a work of art 1963-2000,2BD4MH52,Laurie Simmons : water ballet/family collision,substring,0.990,218,,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. p.218."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,CQSHM95R,Leggere,substring,0.990,423,283,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.283, 423."
emitted,DHC5ATH7,Livres d'artistes,CQSHM95R,Leggere,substring,0.990,,42-43,"Moeglin-Delcroix, Anne. Livres D’artistes. Paris: BPI, Centre Georges Pompidou, 1985. pp.42-43."
emitted,A5RE4482,Artists' books : the book as a work of art 1963-2000,CR88NK5Y,"Five, six, pick up sticks: seven, eight, lay them straight",substring,0.990,204,,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. p.204."
emitted,FAEUXXHV,Booktrek : selected essays on artists' books (1972-2010),CR88NK5Y,"Five, six, pick up sticks: seven, eight, lay them straight",substring,0.990,125,,"Phillpot, Clive. Booktrek: Selected Essays on Artists’ Books (1972-2010). Zurich: JRP/Ringier, 2013. p.125."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,CSAMUSZG,La Véranda,substring,0.990,429,363,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.363, 429."
emitted,GDNNXY63,Artists' Books: Visual Studies Workshop Press,CSJI6KJ7,Perspectives I,substring,0.990,149-150,74,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. p.74,149-150."
emitted,MWX5EQ95,Livres d'artistes: livres-objets = Artists' books : book-objects,CTASINGQ,Sans titre,substring,0.990,,,"NRA Shakespeare international. Livres d'artistes: livres-objets = Artists' books : book-objects. Paris: CERPM, 1985. [cat. entry for ""Andrade Sonia""]."
emitted,A5RE4482,Artists' books : the book as a work of art 1963-2000,CTKV7VGN,Tilt : the black-flagged streets,substring,0.990,220,110,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. pp.110, 220."
emitted,2GCRDTSJ,The maker's hand : twenty books,CTKV7VGN,Tilt : the black-flagged streets,substring,0.990,"5, 10, 46",47-48,"Campbell, Ken. The Maker’s Hand : Twenty Books. London: Ken Campbell, 2001. pp.5, 10, 46, 47-48."
