canonicalKey,canonicalLib,held,sourceKeys,title,date,publisher,place,ISBN,ISSN,language,numPages,edition,series,seriesNumber,callNumber,url,extra,shortTitle,creators
XYQYGNN2,3,,3:XYQYGNN2; 2:RUD6UFBB,"Dia Al-Azzawi : a retrospective, from 1963 until tomorrow",2017-00-00 2017,Mathaf: Arab Museum of modern art,"Cinisello Balsamo (MI), Italy",978-88-366-3905-2,,,,First edition in Italy.,,,,,,Dia Al-Azzawi,Ḍiyāʼ ʻAzzāwī; Qatar) Arab Museum of Modern Art (Dawḥah; Catherine David; Qatar Museums Gallery Alriwaq.; Karim Traboulsi; Nariman Youssef
SUH3PR5D,3,,3:SUH3PR5D,Diamond leaves : artist books from around the world,2015-00-00 2015,"Guilin Shi : Guangxi Shi fan da xue chu ban she, 2015. 桂林市 : 广西师范大学出版社, 2015.",,978-7-5495-7208-3,,,,Di 1 ban. 第1版.,,,,https://catalog.lib.unc.edu/catalog/UNCb9729216,,Diamond leaves,Xu Bing ; editor chief editor
L9X9GLZ5,3,,3:L9X9GLZ5; 2:MU2NZSGB,Die Bücher der Künstler :,1994-00-00 1994,H. Mayer,[Stuttgart],,,German,,,,,,,,Die Bücher der Künstler,Michael Glasmeier; Institut für Auslandsbeziehungen (Stuttgart)
HD2ZXR96,3,,3:HD2ZXR96; 1:LMZASB78,"Die Geschichte(n) gefalteter Bücher: Leporellos, Livres-Accordéon und Folded Panoramas in Literatur und bildender Kunst",2019-00-00 2019,,,978-3-487-15751-1,,German,,,,,,,OCLC: 1131707112,Die Geschichte(n) gefalteter Bücher,Christoph Schulz
C9CPMGHL,3,,3:C9CPMGHL; 2:WMF37AN4,Dressing the text: the fine press artists' book,1995-00-00 1995,Printers' Chappel of Santa Cruz,"Santa Cruz, CA",,,English,54,,,,,,,Dressing the text,Ruth McGurk; Printers' Chappel of Santa Cruz; Art Museum of Santa Cruz County.
STSHFPHF,3,,3:STSHFPHF; 2:ECTRWXPT,Druckworks 1972-2012 : 40 years of books and projects,2012-00-00 2012,"Epicenter, Center for Book and Paper Arts","Chicago, Ill.",978-1-935195-42-9,,,,1st ed.,,,,,,Druckworks 1972-2012,Johanna Drucker; Susan Bee; Charles Bernstein; Steven Clay; Ill ) Center for Book & Paper Arts Columbia College (Chicago; Betsy Davids; Denison Museum.; Craig Douglas Dworkin; Brad Freeman; Pattie Belle Hastings; Matthew G. Kirschenbaum; Joan Lyons; Jerome J. McGann; Emily McVarish; Clifton Meador; Jena Osman; Margorie Perloff; San Francisco Center for the Book.; Kyle Schlesinger; Mira Schor; Tate Shaw; Steve Tomasula; Rosmarie Waldrop; Darren S. (Darren Sean) Wershler-Henry; Steve Woodall; Janet Zweig
SGBJXYRF,3,,3:SGBJXYRF; 2:Z854WZ7B,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,2012-00-00 2012,Bibliothèque nationale de France,Marseille,2-36054-013-0,,,,Nouv. éd. rev. et augm.,,,,,,Esthétique du livre d'artiste 1960/1980,Anne Moeglin-Delcroix; Bibliothèque nationale de France Département des estampes et de la photographie.
N3MCIWXL,3,,3:N3MCIWXL; 2:X5XPEQGD,"Evidence of the avant garde since 1957: selected works from the collection of Art Metropole including audio tapes, records, videotapes, film, multiples, kitsch, manuscripts, stamps, buttons, flyers, posters, correspondence, catalogues, porn, t-shirts, postcards, drawings, poems, mailers, books, photographs and ephemera.",1984-00-00 1984,Art Metropole,Toronto,0-920956-16-5,,English,,,,,,,,Evidence of the avant garde since 1957,Art Metropole
93S2WR5M,3,,3:93S2WR5M; 2:256NQFJX,Fiction? non-fiction?: catalogue raisonné des livres de = a catalogue raisonné of the books by Jean-Michel Alberola ... [et al.].,1995-00-00 1995,Florence Loewy,Paris,2-911136-00-4,,French; Text in French and English.,69,,,,,,,Fiction?,Florence Loewy; Inc Printed Matter
6YHF3EFS,3,,3:6YHF3EFS,Freedom of the presses : artists' books in the twenty-first century,2018-00-00 2018,"Brooklyn, NY : Booklyn, [2018]",,978-0-692-16678-9,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb9714060,,Freedom of the presses,edited by Marshall Weber
